AMC,Scheme Name,Scheme,Scheme Type,Date,Date
,,,,min,max
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Fixed Term Plan - Corporate Bond Series A (1170 days) - Regular Plan-Dividend,Close Ended Schemes,Income,2014-01-23,2017-04-05
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Fixed Term Plan - Corporate Bond Series A (1170 days) - Regular Plan-Growth,Close Ended Schemes,Income,2014-01-23,2017-04-05
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Fixed Term Plan - Corporate Bond Series B (1168 days) - Direct Plan-Dividend,Close Ended Schemes,Income,2014-02-03,2017-04-12
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Fixed Term Plan - Corporate Bond Series B (1168 days) - Direct Plan-Growth,Close Ended Schemes,Income,2014-02-03,2017-04-12
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Fixed Term Plan - Corporate Bond Series B (1168 days) - Regular Plan-Dividend,Close Ended Schemes,Income,2014-02-03,2017-04-12
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Fixed Term Plan - Corporate Bond Series B (1168 days) - Regular Plan-Growth,Close Ended Schemes,Income,2014-02-03,2017-04-12
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Fixed Term Plan - Series FW (1105 days) - Dividend,Close Ended Schemes,Income,2012-08-31,2015-09-08
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Fixed Term Plan - Series FW (1105 days) - Growth,Close Ended Schemes,Income,2012-08-31,2015-09-08
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Fixed Term Plan - Series FX (1093 days) - Dividend,Close Ended Schemes,Income,2012-09-14,2015-09-21
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Fixed Term Plan - Series FX (1093 days) - Growth,Close Ended Schemes,Income,2012-09-14,2015-09-21
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Fixed Term Plan - Series FZ (1093 days) - Dividend,Close Ended Schemes,Income,2012-10-15,2015-10-19
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Fixed Term Plan - Series FZ (1093 days) - Growth,Close Ended Schemes,Income,2012-10-15,2015-10-19
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Fixed Term Plan - Series GI (1185 days) - Direct Plan-Growth,Close Ended Schemes,Income,2013-02-01,2016-04-28
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Fixed Term Plan - Series GI (1185 days) - Direct Plan-Normal Dividend,Close Ended Schemes,Income,2013-02-01,2016-04-28
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Fixed Term Plan - Series GI (1185 days) - Direct Plan-Quarterly Dividend,Close Ended Schemes,Income,2013-02-01,2016-04-28
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Fixed Term Plan - Series GI (1185 days) - Regular Plan-Normal Dividend,Close Ended Schemes,Income,2013-02-01,2016-04-28
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Fixed Term Plan - Series GI (1185 days) - Regular Plan-Quarterly Dividend,Close Ended Schemes,Income,2013-02-01,2016-04-28
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Fixed Term Plan - Series GI (1185 days) -Regular Plan-Growth,Close Ended Schemes,Income,2013-02-01,2016-04-28
